week,n_events,total_best_deaths,n_state_based,n_nonstate,n_onesided,n_distinct_dyads,country,deaths_per_event,state_based_share,baseline_mean_total_best_deaths,baseline_std_total_best_deaths,baseline_mean_n_events,baseline_std_n_events,escalation,label_1,label_2,label_4,label_8,n_events_lag1,n_events_lag2,n_events_delta,total_best_deaths_lag1,total_best_deaths_lag2,total_best_deaths_delta,deaths_per_event_lag1,deaths_per_event_lag2,deaths_per_event_delta,state_based_share_lag1,state_based_share_lag2,state_based_share_delta,n_distinct_dyads_lag1,n_distinct_dyads_lag2,n_distinct_dyads_delta
2020-07-20,16.0,44.0,4.0,2.0,10.0,7.0,CG,2.75,0.25,72.41169305724726,339.9262185560985,3.0018270401948843,4.673560320439544,1,1,1,1,0,23.0,19.0,-7.0,101.0,96.0,-57.0,4.391304347826087,5.052631578947368,-1.641304347826087,0.17391304347826086,0.05263157894736842,0.07608695652173914,10.0,9.0,-3.0
2020-07-27,21.0,88.0,9.0,1.0,11.0,11.0,CG,4.190476190476191,0.42857142857142855,72.39440048691418,339.8234158735011,3.009738283627511,4.683128826699913,1,1,1,1,1,16.0,23.0,5.0,44.0,101.0,44.0,2.75,4.391304347826087,1.4404761904761907,0.25,0.17391304347826086,0.17857142857142855,7.0,10.0,4.0
2020-08-03,22.0,64.0,7.0,1.0,14.0,12.0,CG,2.909090909090909,0.3181818181818182,72.40389294403893,339.7202026335046,3.0206812652068127,4.7026815906481145,1,1,1,1,1,21.0,16.0,1.0,88.0,44.0,-24.0,4.190476190476191,2.75,-1.2813852813852815,0.42857142857142855,0.25,-0.11038961038961037,11.0,7.0,1.0
2020-08-10,20.0,67.0,7.0,4.0,9.0,10.0,CG,3.35,0.35,72.39878419452887,339.61692889589807,3.0322188449848024,4.724482772783273,1,1,1,1,1,22.0,21.0,-2.0,64.0,88.0,3.0,2.909090909090909,4.190476190476191,0.4409090909090909,0.3181818181818182,0.42857142857142855,0.0318181818181818,12.0,11.0,-2.0
2020-08-17,12.0,59.0,4.0,0.0,8.0,7.0,CG,4.916666666666667,0.3333333333333333,72.3955042527339,339.51371225110137,3.0425273390036454,4.741527275415322,1,1,1,0,1,20.0,22.0,-8.0,67.0,64.0,-8.0,3.35,2.909090909090909,1.5666666666666669,0.35,0.3181818181818182,-0.016666666666666663,10.0,12.0,-3.0
2020-08-24,14.0,78.0,6.0,0.0,8.0,7.0,CG,5.571428571428571,0.42857142857142855,72.38737097753491,339.4107241175508,3.047965998785671,4.745222748664669,1,1,1,1,1,12.0,20.0,2.0,59.0,67.0,19.0,4.916666666666667,3.35,0.6547619047619042,0.3333333333333333,0.35,0.09523809523809523,7.0,10.0,0.0
2020-08-31,15.0,59.0,4.0,2.0,9.0,10.0,CG,3.933333333333333,0.26666666666666666,72.39077669902913,339.3076975617476,3.054611650485437,4.751447224739182,1,1,0,1,1,14.0,12.0,1.0,78.0,59.0,-19.0,5.571428571428571,4.916666666666667,-1.638095238095238,0.42857142857142855,0.3333333333333333,-0.16190476190476188,7.0,7.0,3.0
2020-09-07,21.0,118.0,3.0,4.0,14.0,12.0,CG,5.619047619047619,0.14285714285714285,72.3826561552456,339.2048969309275,3.0618556701030926,4.759105396580137,1,0,1,1,1,15.0,14.0,6.0,59.0,78.0,59.0,3.933333333333333,5.571428571428571,1.6857142857142855,0.26666666666666666,0.42857142857142855,-0.12380952380952381,10.0,7.0,2.0
2020-09-14,7.0,29.0,4.0,1.0,2.0,5.0,CG,4.142857142857143,0.5714285714285714,72.41030303030303,339.1038892143829,3.0727272727272728,4.778113174756107,0,1,1,1,1,21.0,15.0,-14.0,118.0,59.0,-89.0,5.619047619047619,3.933333333333333,-1.4761904761904754,0.14285714285714285,0.26666666666666666,0.42857142857142855,12.0,10.0,-7.0
2020-09-21,15.0,78.0,3.0,0.0,12.0,6.0,CG,5.2,0.2,72.38400969109631,339.0027983596451,3.075105996365839,4.77764281022465,1,1,1,1,0,7.0,21.0,8.0,29.0,118.0,49.0,4.142857142857143,5.619047619047619,1.057142857142857,0.5714285714285714,0.14285714285714285,-0.3714285714285714,5.0,12.0,1.0
