priogrid_gid,lat,lon,country,n_events_total
148728,13.08477,23.97388,Sudan,15
148729,13.175254287356323,24.29579840229885,Sudan,87
148730,13.211348976470587,24.670832235294117,Sudan,85
148731,13.305019607843137,25.155164882352942,Sudan,51
148741,13.18955128125,30.22556478125,Sudan,32
148759,13.312983791044777,39.2861243880597,Ethiopia,67
148760,13.270889863636365,39.69163618181818,Ethiopia,22
149449,13.65,24.08333,Sudan,18
149450,13.60019471875,24.85128315625,Sudan,32
149451,13.64770702030457,25.357166213197967,Sudan,197
149477,13.69891287096774,38.18532809677419,Ethiopia,31
149478,13.767608894736842,38.78522055263158,Ethiopia,38
149479,13.75617272,39.1959487,Ethiopia,50
149480,13.777527479999998,39.65700008,Ethiopia,25
150166,14.07708425,22.664151375,Sudan,16
150170,14.208803243243244,24.663646243243246,Sudan,37
150172,14.174960766666667,25.599116666666667,Sudan,30
150188,14.39200761904762,33.547787666666665,Sudan,21
150194,14.222941785714285,36.64262982142857,Ethiopia,28
150196,14.264531717948717,37.784146846153845,Ethiopia,39
150197,14.155218333333334,38.281980000000004,Ethiopia,42
150198,14.164934,38.762395294117646,Ethiopia,51
150199,14.249716130434782,39.31158272463768,Ethiopia,69
150200,14.253032347826087,39.58113304347826,Ethiopia,23
150907,14.768377390243902,33.2332822195122,Sudan,41
152345,15.637511089552238,32.43328435820896,Sudan,134
152346,15.60781636407767,32.5375977184466,Sudan,206
156455,18.574728421052633,-72.5259527368421,Haiti,19
156456,18.565743044334972,-72.31455032512315,Haiti,203
165375,24.859760676767674,67.01115983838385,Pakistan,198
167525,26.122018566666664,62.256798366666665,Pakistan,30
167527,26.011496457142858,63.10875447142857,Pakistan,70
167528,26.08329925925926,63.81744318518518,Pakistan,27
167529,26.0959728125,64.2206966875,Pakistan,16
167531,26.227996923076923,65.38715884615384,Pakistan,26
168249,26.802082919999997,64.17149744,Pakistan,25
171134,28.8307408,66.5722592,Pakistan,15
171854,29.240185999999998,66.72871406249999,Pakistan,16
171856,29.259841866666665,67.72717446666667,Pakistan,15
172574,29.80744387096774,66.77269087096775,Pakistan,31
173288,30.15106,63.879346,Afghanistan,25
173293,30.20879377419355,66.06190380645161,Afghanistan,31
173294,30.19417570588235,66.94287288235294,Pakistan,17
173295,30.192463514851486,67.01594071287128,Pakistan,101
174004,30.959629,61.862839,Afghanistan,15
174009,30.83193875,64.1245792125,Afghanistan,80
174013,30.942970671428572,66.24333052857143,Afghanistan,70
174729,31.297289594285715,64.11703381142857,Afghanistan,175
174731,31.16586996428572,65.1834125857143,Afghanistan,140
174732,31.3226711025641,65.81787533333333,Afghanistan,39
174733,31.110007074074073,66.29288748148149,Afghanistan,27
174735,31.447533,67.253177,Afghanistan,46
175443,31.724611,61.320915,Afghanistan,15
175446,31.691233949152544,62.89997489830509,Afghanistan,59
175447,31.973477218750002,63.2374516875,Afghanistan,32
175448,31.625940999999997,63.86144500000001,Afghanistan,279
175449,31.606737302013425,64.34170363758389,Afghanistan,447
175450,31.72706821688312,64.74042129480519,Afghanistan,770
175451,31.639646084905657,65.34642126415095,Afghanistan,212
175452,31.65023182073814,65.67963044991212,Afghanistan,569
175453,31.764477777777778,66.2369657037037,Afghanistan,27
175454,31.74967529,66.54771538,Afghanistan,100
175455,31.86688691891892,67.20725567567567,Afghanistan,74
175456,31.825668526315788,67.75074826315789,Afghanistan,19
175461,31.856125426470584,70.39353236764705,Pakistan,68
175462,31.82463728205128,70.76154853846154,Pakistan,39
175469,31.578501758620686,74.31938099999999,Pakistan,29
176163,32.319989871794874,61.3499938974359,Afghanistan,39
176164,32.249986,61.777404235294114,Afghanistan,17
176165,32.41714896345515,62.10662958471761,Afghanistan,301
176166,32.21352742857143,62.883410285714284,Afghanistan,35
176168,32.11836708108108,63.945788054054056,Afghanistan,37
176169,32.443175409090905,64.4598460909091,Afghanistan,44
176170,32.19418742857143,64.90869114285715,Afghanistan,357
176171,32.310348261904764,65.12465486904762,Afghanistan,84
176172,32.12764065189873,65.6125826835443,Afghanistan,158
176173,32.16004803278689,66.08155197814207,Afghanistan,183
176174,32.145991591397845,66.76598328494623,Afghanistan,186
176175,32.43296051470588,67.34600207352942,Afghanistan,136
176176,32.2950254375,67.778170125,Afghanistan,32
176177,32.26475593548387,68.31532258064516,Afghanistan,31
176178,32.384812933333336,68.93348046666667,Afghanistan,30
176179,32.300677666666665,69.34171215151514,Pakistan,33
176180,32.32389286153847,69.66895710769231,Pakistan,65
176181,32.22087617105264,70.32249475,Pakistan,76
176182,32.26031596296296,70.72376825925926,Pakistan,27
176190,32.46569886666667,74.63540213333334,Pakistan,15
176885,32.6385096484375,62.2883176484375,Afghanistan,128
176886,32.74907810344828,62.71585823448276,Afghanistan,145
176888,32.65334684210526,63.605136947368415,Afghanistan,19
176891,32.70127391826923,65.46149614423076,Afghanistan,208
176892,32.65051518617022,65.86701663297872,Afghanistan,376
176893,32.884621030612244,66.23096371428572,Afghanistan,98
176894,32.7421415974026,66.80938212121212,Afghanistan,231
176895,32.64421375,67.35828124999999,Afghanistan,48
176896,32.82858424074074,67.72727091666667,Afghanistan,216
176897,32.769058015999995,68.225476416,Afghanistan,125
176898,32.87469819512195,68.7424383902439,Afghanistan,41
176899,32.738314994594596,69.31764796216217,Afghanistan,185
176900,32.84981635797665,69.82600432684825,Pakistan,257
176901,32.88283225153374,70.16501468711657,Pakistan,163
176902,32.81533374285714,70.68028790285715,Pakistan,175
177603,33.012288,61.252023,Afghanistan,23
177605,33.27257356768559,62.27929424454149,Afghanistan,229
177612,33.220492,65.59092588461539,Afghanistan,26
177613,33.376958571428574,66.26077314285715,Afghanistan,63
177615,33.21526252,67.34781084000001,Afghanistan,25
177616,33.2109986641791,67.98780200746269,Afghanistan,134
177617,33.29996297272727,68.37584918363636,Afghanistan,550
177618,33.376008059055124,68.68416112598425,Afghanistan,254
177619,33.30453871005917,69.14291959763314,Afghanistan,169
177620,33.321325902255644,69.83109732330828,Afghanistan,133
177621,33.191754574074075,70.19516632098765,Pakistan,162
177622,33.212921542857146,70.67185948571428,Pakistan,35
177629,33.34032822222222,74.10805480555555,Pakistan,36
178325,33.697399142857144,62.10883030612246,Afghanistan,49
178327,33.83150927272727,63.27565218181819,Afghanistan,22
178331,33.59301152173913,65.08604613043478,Afghanistan,23
178333,33.62605769565217,66.07566395652174,Afghanistan,23
178337,33.586592625,68.35680589880953,Afghanistan,336
178338,33.85566482712766,68.79197873404256,Afghanistan,376
178339,33.80208876060606,69.19015279999999,Afghanistan,330
178340,33.73725853883495,69.79585596116505,Afghanistan,206
178341,33.70762286486486,70.20748990540541,Pakistan,74
178342,33.80653292307692,70.76180895604396,Pakistan,182
178343,33.839324394366194,71.2274347887324,Pakistan,142
178344,33.87346588888889,71.59847319444445,Pakistan,36
178347,33.65093125,73.0607,Pakistan,16
178348,33.7378736,73.90807686666668,Pakistan,15
178349,33.8498758125,74.104218125,Pakistan,16
179043,34.21081916666667,61.19022095238095,Afghanistan,42
179044,34.32469651612903,61.65002651612903,Afghanistan,31
179045,34.292742626794265,62.18892020574163,Afghanistan,209
179046,34.20937434939759,62.74705755421687,Afghanistan,83
179047,34.363231192307694,63.229855012820515,Afghanistan,78
179048,34.3763989375,63.8590094375,Afghanistan,48
179049,34.218032419354834,64.31811580645162,Afghanistan,31
179050,34.155862423076925,64.83282600000001,Afghanistan,26
179057,34.13685340506329,68.44446084810127,Afghanistan,79
179058,34.272936225108225,68.79224601731602,Afghanistan,231
179059,34.21167903982301,69.17696570353982,Afghanistan,226
179060,34.236496372384934,69.85024447698744,Afghanistan,239
179061,34.23902615935542,70.3174131557744,Afghanistan,1117
179062,34.143916850094875,70.69990556736242,Afghanistan,1054
179063,34.18797276984127,71.1711819920635,Afghanistan,126
179064,34.06321204794521,71.62521447260274,Pakistan,146
179065,34.233126580000004,72.28481602,Pakistan,50
179763,34.635842976744186,61.160805209302325,Afghanistan,43
179765,34.642563540540536,62.24155935135135,Afghanistan,37
179766,34.81923108163265,62.79601543877551,Afghanistan,98
179767,34.87793746621621,63.19670587162162,Afghanistan,148
179768,34.828930409090916,63.604013196969696,Afghanistan,66
179770,34.57203254545454,64.93932236363636,Afghanistan,22
179771,34.59290725531915,65.29023465957447,Afghanistan,94
179772,34.623893260869565,65.72685236956522,Afghanistan,46
179778,34.58266413095238,68.76307111904762,Afghanistan,84
179779,34.58498692441861,69.17560652180232,Afghanistan,688
179780,34.8076811632653,69.70539640306123,Afghanistan,196
179781,34.76183734158416,70.21815448762376,Afghanistan,404
179782,34.82516678318584,70.8183915619469,Afghanistan,226
179783,34.84239130672269,71.23244599579832,Afghanistan,238
179784,34.78073865789474,71.73750107894736,Pakistan,38
179785,34.78273216,72.34998932,Pakistan,25
180484,35.13410611627907,61.62822469767441,Afghanistan,43
180485,35.06940007894737,62.25718281578947,Afghanistan,38
180487,35.27041677245509,63.26365360479041,Afghanistan,167
