country,week,gkg_n_docs,gkg_mean_tone
UZ,2025-09-07,68,-0.0898288154515959
KG,2025-09-07,51,0.5202933653258878
ER,2025-09-07,28,-2.7005900187363525
AF,2025-09-14,393,-3.331147980045619
EC,2025-09-14,69,-3.8979963610246715
CO,2025-09-14,148,-1.7819117412119119
VE,2025-09-14,479,-2.3526147264521833
NU,2025-09-14,107,-1.495818371688868
PK,2025-09-14,1314,-2.436682727825033
ET,2025-09-14,326,-1.4093559742580741
SO,2025-09-14,44,-1.1296219449193272
BM,2025-09-14,42,-0.15215747728608675
PE,2025-09-14,346,3.4573118863464742
ER,2025-09-14,8,0.09792625157133117
SU,2025-09-14,105,-3.0080866042204555
KG,2025-09-14,31,0.5420311386049599
KE,2025-09-14,285,0.38679352712679144
UZ,2025-09-14,67,0.6578613329550826
BL,2025-09-14,22,-3.2428906766259016
OD,2025-09-14,33,-4.658854839837362
HA,2025-09-14,82,-2.938507418026192
TI,2025-09-14,20,-0.05093651732614005
VE,2025-09-21,330,-2.065265637166731
TI,2025-09-21,46,1.0037929603018803
KG,2025-09-21,98,0.9491427840687796
UZ,2025-09-21,80,2.3221392313616898
PK,2025-09-21,1162,-1.796680894395651
AF,2025-09-21,585,-2.5203805654133404
ET,2025-09-21,191,-0.6063045209350996
BM,2025-09-21,40,-1.4050011362684447
KE,2025-09-21,308,0.16174917991699783
OD,2025-09-21,56,-2.479027895901432
EC,2025-09-21,39,-1.2250745836583048
NU,2025-09-21,21,-2.120017992035594
HA,2025-09-21,59,-2.145436430551078
SO,2025-09-21,65,-3.4040257676780716
SU,2025-09-21,130,-3.421492530969949
CO,2025-09-21,207,-1.3327977417655545
BL,2025-09-21,60,1.1373856762463164
PE,2025-09-21,107,-1.783905872028137
ER,2025-09-21,14,-1.6706122454694314
VE,2025-09-28,516,-4.173311766180149
PK,2025-09-28,1494,-1.6270530725465344
AF,2025-09-28,421,-2.0653965531905567
KE,2025-09-28,232,-1.1638735563502114
CO,2025-09-28,233,-1.8890872230726161
EC,2025-09-28,30,-2.4314840053802746
SU,2025-09-28,145,-1.9191834187666006
BL,2025-09-28,67,-3.2135884677344726
ET,2025-09-28,93,0.034585432116478215
HA,2025-09-28,125,-2.064644490159992
UZ,2025-09-28,39,2.2942959290162404
OD,2025-09-28,32,-1.9499946607986696
TI,2025-09-28,33,0.2846603840831063
SO,2025-09-28,252,-4.118131175659048
PE,2025-09-28,101,-1.6530221489067147
KG,2025-09-28,26,1.385587765678604
ER,2025-09-28,13,-0.04711064120226542
BM,2025-09-28,36,-2.053786732071474
NU,2025-09-28,19,-1.5861610454534238
KE,2025-10-05,250,-0.3150387901696153
PK,2025-10-05,1164,-2.58080621182252
AF,2025-10-05,223,-3.026766080315055
VE,2025-10-05,277,-3.13582942861292
NU,2025-10-05,23,-1.6420276233717481
SO,2025-10-05,86,-4.658838570105953
CO,2025-10-05,406,-3.129618550456761
HA,2025-10-05,64,-1.145694817272499
PE,2025-10-05,119,-1.2712249621097347
ET,2025-10-05,98,1.1811563169328705
SU,2025-10-05,165,-1.9133987962046608
EC,2025-10-05,55,-2.3668682402730634
KG,2025-10-05,39,2.2222835739662647
OD,2025-10-05,127,-0.9612313053216809
ER,2025-10-05,11,-3.377220618650907
TI,2025-10-05,15,2.5800516548688943
UZ,2025-10-05,38,0.8773971417273602
BM,2025-10-05,29,0.5937962357005592
BL,2025-10-05,25,-0.30640095814303075
VE,2025-10-12,451,-0.8364203830479398
PK,2025-10-12,1696,-3.5184440348935144
AF,2025-10-12,1190,-4.378492946775432
CO,2025-10-12,123,-1.9402341676056534
NU,2025-10-12,78,-2.51269838088783
EC,2025-10-12,127,-2.7989539958579908
KE,2025-10-12,408,-0.4922975754353119
ET,2025-10-12,178,1.166475018863169
PE,2025-10-12,121,-1.7563838959315936
SU,2025-10-12,96,-2.7330735844125598
BL,2025-10-12,39,-1.044973236727404
SO,2025-10-12,139,-0.47368347923849946
BM,2025-10-12,48,-2.717151904279827
KG,2025-10-12,45,2.5529194895430267
TI,2025-10-12,26,0.4677490028164573
OD,2025-10-12,106,-0.8906218956046646
UZ,2025-10-12,30,1.2182893070816236
HA,2025-10-12,33,-2.4051328155425082
ER,2025-10-12,6,2.6428949617613755
VE,2025-10-19,1167,-3.032664102162164
EC,2025-10-19,880,-3.8026014163182937
CO,2025-10-19,929,-4.390839602637889
PK,2025-10-19,1307,-2.321143667896673
OD,2025-10-19,23,-1.342531374993738
HA,2025-10-19,72,-2.6504764422179132
KE,2025-10-19,381,0.1882234034492426
AF,2025-10-19,1040,-3.2119370527063973
KG,2025-10-19,57,-0.7287995555633773
PE,2025-10-19,89,-0.1396454173720012
ET,2025-10-19,94,0.4749322879781108
BM,2025-10-19,58,-1.5981569138505514
SO,2025-10-19,61,-1.5704927606051282
ER,2025-10-19,34,-2.1807698700046587
SU,2025-10-19,92,-1.8333552458763895
NU,2025-10-19,59,-2.360108740061922
BL,2025-10-19,188,-1.9084116294798457
TI,2025-10-19,21,1.1825712129405226
UZ,2025-10-19,41,0.7724325356919761
PK,2025-10-26,1319,-1.6809096863378339
ET,2025-10-26,506,-4.554425548712064
VE,2025-10-26,578,-3.459551206013869
CO,2025-10-26,288,-3.1186459193914495
SU,2025-10-26,270,-4.208289407719098
HA,2025-10-26,751,-6.637608088501281
BM,2025-10-26,98,0.44172938978253784
KE,2025-10-26,279,0.04435671962822584
EC,2025-10-26,84,-2.597440649856891
AF,2025-10-26,605,-2.1329464837962457
PE,2025-10-26,105,-0.9045360243215241
BL,2025-10-26,33,-0.22871913728353133
OD,2025-10-26,24,-2.355817856405536
SO,2025-10-26,69,-0.5710279039030637
ER,2025-10-26,22,-3.556467732070118
NU,2025-10-26,16,-1.2135985177216777
KG,2025-10-26,26,-0.09960625441123258
TI,2025-10-26,14,-1.3731327291414732
UZ,2025-10-26,36,-0.7268932906446328
AF,2025-11-02,538,-3.7213462120000513
